mouseMove	window	Arborescence	widget	1312276	date	2020 03 31 - 14:43:42	timeStampS	1585658622.079	injected	0	xPix	426	yPix	984	wheel	0	
mouseMove	window	Arborescence	widget	11142258	date	2020 03 31 - 14:43:42	timeStampS	1585658622.094	injected	0	xPix	392	yPix	996	wheel	0	
mouseMove	window	Arborescence	widget	12125644	date	2020 03 31 - 14:43:42	timeStampS	1585658622.110	injected	0	xPix	354	yPix	1010	wheel	0	
mouseMove	window	Arborescence	widget	12125644	date	2020 03 31 - 14:43:42	timeStampS	1585658622.126	injected	0	xPix	320	yPix	1024	wheel	0	
mouseMove	window	exe.win-amd64-3.7	widget	394574	date	2020 03 31 - 14:43:42	timeStampS	1585658622.141	injected	0	xPix	295	yPix	1033	wheel	0	
mouseMove	window	exe.win-amd64-3.7	widget	394574	date	2020 03 31 - 14:43:42	timeStampS	1585658622.157	injected	0	xPix	275	yPix	1039	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.173	injected	0	xPix	264	yPix	1043	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.188	injected	0	xPix	258	yPix	1043	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.204	injected	0	xPix	253	yPix	1043	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.219	injected	0	xPix	250	yPix	1044	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.235	injected	0	xPix	247	yPix	1044	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.251	injected	0	xPix	245	yPix	1045	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.266	injected	0	xPix	244	yPix	1046	wheel	0	
mouseMove	window	Applications en cours d’exécution	widget	65790	date	2020 03 31 - 14:43:42	timeStampS	1585658622.282	injected	0	xPix	242	yPix	1048	wheel	0	
